time,cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,CPI
34.54544076,1344160311,2138680641,22836946,115601,6445591,429338,16864,6976,22773833,3051,364,2437,72775,103312,229366,0.6284997794
34.84585647,1333694555,2137407583,22972654,63465,4844315,382609,18899,9313,22917574,785,664,2743,93757,84561,178773,0.6239776473
35.14629254,1337042117,2142748596,22885940,107638,4519834,363576,18654,7336,22904016,3395,532,1644,72249,74254,236902,0.623984596
35.44670467,1336083781,2125895466,22747424,80722,5580418,365048,25002,18512,22759147,577,1064,1650,72408,74431,164997,0.6284804697
35.74713154,1336323624,2128036399,23166041,80672,4271122,342463,13283,899,23108355,529,436,1626,117808,115709,206384,0.6279608867
36.04754491,1327802462,2099831163,23067881,120295,4354662,365913,19743,2154,23150115,484,385,1620,71732,82886,266544,0.6323377257
36.34796299,1326835033,2112053823,22564781,88181,5762983,374385,22886,18892,22823182,373,499,1653,70923,69401,157078,0.6282202748
36.64835296,1329922963,2104935650,22925803,62128,5099002,347315,20082,16436,22898780,1988,794,1857,77404,67641,157275,0.631811696
36.9487554,1325949562,2089608311,22722426,117436,5677288,344718,18998,1193,22804887,321,583,1950,114544,120874,281665,0.6345445484
37.2491709,1340584566,2106170973,23507022,125537,4308946,376787,15074,1112,23539431,1058,1161,1566,70569,121960,337355,0.6365032009
37.54959126,1332875886,2080614561,23141537,162708,4294182,385156,31517,2503,23318315,2957,511,1534,65847,89205,328530,0.6406164366
37.85000627,1338219461,2095776330,23343934,131719,4533781,405145,26319,4007,23454867,1083,324,1651,70261,70479,337167,0.6385316228
38.15042286,1343444876,2102111188,23322384,136227,5392090,389565,26844,23894,23235459,1444,577,1858,79360,77268,173015,0.6390931572
38.45080762,1332612794,2077897819,23321924,162973,4571816,405522,29436,26191,23420697,718,739,1635,77396,78347,179869,0.6413273944
38.75120791,1337282994,2085400228,23459434,144040,4593377,423116,24956,27342,23456005,1050,680,1199,73690,75533,172091,0.6412596374
39.05162547,1338267261,2079404529,23323646,160319,5287652,416943,30840,24884,23092645,785,352,758,61924,73772,169283,0.6435819689
39.35182741,1330709817,2068351323,23218644,163620,5161405,412495,33102,25752,23338156,1413,1512,1632,73407,79646,188346,0.643367402
39.65226332,1336484774,2077436099,23104310,141125,5385865,458891,18842,977,23074616,592,370,1712,69674,136334,419710,0.6433337587
39.95265005,1333805341,2089525687,23144723,77756,4506574,394246,14964,979,23162209,1308,1179,1185,132558,149633,252174,0.6383292387
40.25307807,1334825449,2080691018,23159276,58816,4506400,465536,33427,24449,22947694,1507,842,604,85559,87975,191971,0.6415298751
40.55349125,1342470126,2077062235,23095351,142438,6037046,572188,30382,29388,23010049,3318,740,1627,84253,78846,197053,0.6463311996
40.85390529,1338006722,2054514928,23397178,124309,5161657,532604,12226,990,23493664,3787,1287,1013,133308,173390,448843,0.6512518862
41.15431698,1340873564,2062214098,23459316,54530,4968571,485261,21104,16943,23265646,3646,2117,2749,93781,85704,167125,0.6502106475
41.45472708,1334917546,2044583550,23324739,190703,5378226,426356,30186,31031,23324126,2906,788,2268,71866,86446,195371,0.6529043756
41.75514734,1333426985,2034808227,23255789,76394,5178293,400058,16771,8151,23243895,713,890,5442,114383,152332,200304,0.6553084302
42.05555245,1337721643,2035466444,23596541,148950,4628661,434088,44106,36182,23367735,686,508,1167,69949,68485,181556,0.6572064339
42.35583028,1336357993,2037105418,23297697,105413,5255280,432770,16443,7744,23304589,911,574,3459,115987,164765,387861,0.656008266
42.65624968,1334847726,2029477862,23628994,172755,4169524,516003,29602,16917,23439969,1414,1065,1050,93823,159343,423964,0.6577296313
42.95665779,1336972417,2036425533,23489221,126510,4474690,507778,36013,30315,23359026,764,881,1850,80146,78035,161918,0.6565289991
43.25706148,1336463812,2034283071,23606803,84289,3794636,498296,22816,16429,23383283,731,511,2157,102314,91493,223518,0.6569704242
43.55748293,1332763118,2037886392,23267389,159034,4661295,548269,26150,16646,23384029,1043,1221,2641,80144,158599,416819,0.6539928444
43.85789606,1333863149,2061545815,22899631,122630,5822228,551867,37901,34010,22880458,872,586,13139,58154,63895,189606,0.6470208614
44.15831297,1337176189,2070181903,22925711,125134,5420069,602983,30582,23099,22851783,1200,812,10237,48462,78009,183851,0.6459220743
44.45873152,1341905051,2108400056,22438017,169781,7615995,624220,35631,38649,22525979,565,785,38770,27873,150489,391264,0.636456562
44.75915594,1345700874,2083326196,22803476,85287,6543737,646061,30080,23479,22834081,2383,448,15373,30659,88564,226431,0.6459386325
45.05957454,1338839735,2076006666,22858928,98168,5430278,671115,36878,31146,22641923,1095,439,4624,25353,83330,211959,0.6449110964
